time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1687389613.821386,-7.894166683708699e-05,1.2721474885191898e-08,-9.449652569876314e-06,0.9999999968394587,-2.7656555897296603e-05,7.887243554316267e-07,2.6965039280340293e-06,6.888915432712356e-10,-8.466734993295104e-11,1.4332398220248e-10
1687389613.831386,-7.894166683821118e-05,1.2721501867820272e-08,-9.449657600802071e-06,0.9999999968394586,-2.765655465278715e-05,7.887433068110255e-07,2.6965355105373787e-06,6.91234140471047e-10,-8.462867939152927e-11,1.4198700803251683e-10
1687389613.841386,-7.894166683930121e-05,1.2721528790994182e-08,-9.449662631838782e-06,0.9999999968394585,-2.7656553443656803e-05,7.887622604983863e-07,2.696566997481878e-06,6.893775979444788e-10,-8.384705337205908e-11,1.4238885060429197e-10
1687389613.851386,-7.894166684038304e-05,1.2721555768423615e-08,-9.449667662975732e-06,0.9999999968394586,-2.7656552251401724e-05,7.887812020159119e-07,2.6965985448496185e-06,6.89874547967055e-10,-8.423510339661257e-11,1.420878499169171e-10
1687389613.861386,-7.89416668415285e-05,1.2721582810369974e-08,-9.449672694159047e-06,0.9999999968394585,-2.765655102143068e-05,7.888000954720936e-07,2.696630166648631e-06,6.903480831450811e-10,-8.182248992788586e-11,1.432637516232362e-10
1687389613.871386,-7.894166684267197e-05,1.2721609784004942e-08,-9.4496777254823e-06,0.9999999968394584,-2.7656549791007375e-05,7.888190643277151e-07,2.6966617317281605e-06,6.902845656636222e-10,-8.527277065857271e-11,1.4251117378355232e-10
1687389613.881386,-7.894166684376963e-05,1.2721636765609167e-08,-9.44968275694401e-06,0.9999999968394584,-2.7656548577253946e-05,7.888379914839874e-07,2.6966933177546604e-06,6.898757343174296e-10,-8.708069289979143e-11,1.4174540686349004e-10
1687389613.891386,-7.894166684484055e-05,1.2721663868966448e-08,-9.449687788457327e-06,0.9999999968394584,-2.7656547392692274e-05,7.888569015812347e-07,2.696724963306915e-06,6.895794689455294e-10,-8.420915854561437e-11,1.4226018298464468e-10
1687389613.901386,-7.894166684598792e-05,1.2721690840027585e-08,-9.44969282012315e-06,0.9999999968394583,-2.7656546178986516e-05,7.888758561811332e-07,2.6967565457482943e-06,6.908539256993556e-10,-8.314512496253184e-11,1.4313123748202767e-10
1687389613.911386,-7.894166684710736e-05,1.2721717904159459e-08,-9.449697851731606e-06,0.9999999968394582,-2.7656544914137654e-05,7.888947215886855e-07,2.6967882120358966e-06,6.890192212406654e-10,-8.394822818005388e-11,1.4347005587731617e-10
1687389613.921386,-7.894166684820823e-05,1.2721744860931184e-08,-9.449702883390448e-06,0.9999999968394583,-2.7656543686126817e-05,7.889136612828091e-07,2.6968197248684363e-06,6.900481167496024e-10,-8.287298219780998e-11,1.4084631669580443e-10
1687389613.931386,-7.894166684938442e-05,1.2721771865268977e-08,-9.44970791524717e-06,0.9999999968394582,-2.7656542433660398e-05,7.889326095288866e-07,2.696851339603109e-06,6.910460919933359e-10,-8.432139272720953e-11,1.4540308799454925e-10
1687389613.941386,-7.894166685052692e-05,1.2721798834515747e-08,-9.449712947152277e-06,0.9999999968394581,-2.7656541211120886e-05,7.88951525863783e-07,2.6968829092115665e-06,6.898158504827999e-10,-8.460145208255712e-11,1.4299334584094854e-10
1687389613.951386,-7.894166685162419e-05,1.2721825877142006e-08,-9.449717979087701e-06,0.9999999968394581,-2.765654001618263e-05,7.88970348715707e-07,2.6969145487163987e-06,6.880143699565673e-10,-8.612834650399872e-11,1.4141968232633798e-10
1687389613.961386,-7.894166685275775e-05,1.2721852809121004e-08,-9.449723011278701e-06,0.9999999968394581,-2.7656538769235996e-05,7.889893413962833e-07,2.6969460459737466e-06,6.909104348885309e-10,-8.293488926673261e-11,1.427643185688495e-10
1687389613.9713862,-7.894166685389247e-05,1.2721879759021976e-08,-9.449728043580149e-06,0.999999996839458,-2.7656537563135245e-05,7.890082936784587e-07,2.696977565227325e-06,6.893871416900848e-10,-8.399531180929318e-11,1.4193740730799148e-10
1687389613.9813862,-7.894166685494706e-05,1.2721906827472594e-08,-9.449733075869972e-06,0.9999999968394578,-2.7656536378577053e-05,7.890272106147786e-07,2.697009194164645e-06,6.895964942985338e-10,-8.782427418041701e-11,1.408625179916046e-10
1687389613.9913862,-7.894166685606635e-05,1.2721933796056656e-08,-9.449738108357231e-06,0.999999996839458,-2.7656535157212433e-05,7.89046104379704e-07,2.6970407647367766e-06,6.897029062792527e-10,-8.236868601544125e-11,1.4318325099042315e-10
1687389614.0013862,-7.894166685724168e-05,1.2721960868344432e-08,-9.449743140840525e-06,0.9999999968394578,-2.7656533901258664e-05,7.8906503292767e-07,2.6970724023597413e-06,6.906598811871307e-10,-8.203482960104205e-11,1.4350322153585925e-10
