time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1687192967.055536,-7.87658187415048e-05,-5.360090099221153e-09,2.5783336832474544e-05,0.9999999965655828,-1.4966534943436707e-05,-5.579685556148935e-05,-7.98733092904389e-06,-0.0005038540720691209,-0.0016613618110446,9.800063883111067
1687192967.065536,-7.876605066881138e-05,-5.304404864237903e-09,2.578348363751747e-05,0.9999999965655607,-1.4966256146352203e-05,-5.5625911793731145e-05,-7.852552874941536e-06,-0.0004944157510577435,-0.0016618330613289941,9.800065836802245
1687192967.075536,-7.876627943256274e-05,-5.2463073910709615e-09,2.5783658328494688e-05,0.9999999965655381,-1.4964953595496986e-05,-5.545752337185526e-05,-7.721227350051512e-06,-0.00048510240747118115,-0.0016621053371372405,9.800067467860426
1687192967.0855362,-7.876650520335838e-05,-5.186251109383088e-09,2.5783854187607196e-05,0.9999999965655153,-1.4962911300086128e-05,-5.529169401490709e-05,-7.592219516750538e-06,-0.0004758604114840033,-0.0016622293076200743,9.800068859214386
1687192967.0955362,-7.876672825909539e-05,-5.125954692296937e-09,2.578407192441461e-05,0.9999999965654921,-1.49571729093556e-05,-5.5109418245054086e-05,-7.433768859556551e-06,-0.00046665362244954403,-0.0016621037699219164,9.800068576706655
1687192967.1055362,-7.876694850649168e-05,-5.064916744658087e-09,2.5784308731659804e-05,0.9999999965654687,-1.4950718719001064e-05,-5.4929287997001866e-05,-7.278283708337826e-06,-0.00045779956675354454,-0.001661845992606457,9.800068117608166
1687192967.1155362,-7.876716595451364e-05,-5.002971112485261e-09,2.5784559233100877e-05,0.999999996565445,-1.4943808084265271e-05,-5.4751499006795925e-05,-7.1252534649351345e-06,-0.0004490279238808687,-0.0016614939503465423,9.800067505421653
1687192967.1255362,-7.876738070737007e-05,-4.940615377780246e-09,2.5784819778182067e-05,0.9999999965654214,-1.4936628511774415e-05,-5.457596916494385e-05,-6.973748968110418e-06,-0.0004403511641053841,-0.0016610443340337282,9.800066791837564
1687192967.1355362,-7.876758746060678e-05,-4.893974109083181e-09,2.578506541698037e-05,0.999999996565399,-1.493212813043795e-05,-5.4387295079816246e-05,-6.814119524689631e-06,-0.0004313127246219264,-0.0016607725226404429,9.80006661150037
1687192967.1455362,-7.87677865409962e-05,-4.869934764383876e-09,2.578526359707305e-05,0.999999996565378,-1.4932217702054902e-05,-5.418799226529848e-05,-6.650096958476294e-06,2.4151717253400435e-06,-0.001543955812418568,9.80000163827543
1687192967.1555362,-7.87679828937109e-05,-4.82327934149913e-09,2.5785405450096563e-05,0.9999999965653589,-1.4933694695527421e-05,-5.3995392987216656e-05,-6.482763575978329e-06,-0.00041333054313428527,-0.001661155610526623,9.800067041676158
1687192967.1655362,-7.876817719524272e-05,-4.774603112180535e-09,2.5785494374813606e-05,0.9999999965653412,-1.4937466383028942e-05,-5.3809671782178414e-05,-6.315273672300922e-06,-0.00040457761458955274,-0.0016617339126312211,9.800067770841503
1687192967.1755362,-7.876836934413561e-05,-4.732762811096886e-09,2.5785540548435034e-05,0.999999996565325,-1.4942721510301666e-05,-5.3624652044986927e-05,-6.147957724493664e-06,-0.0003959167937157115,-0.0016625836538242283,9.800068918807716
1687192967.1855361,-7.876855928767667e-05,-4.696209962593666e-09,2.5785553126004226e-05,0.9999999965653098,1.5006500132638754e-05,5.278037053413253e-05,5.961379470255776e-06,-1.6760105434243677e-06,-0.0015436686463460615,9.800001160635947
1687192967.1955361,-7.876874707497414e-05,-4.663273535628989e-09,2.5785536850797996e-05,0.9999999965652953,-1.4955983727243502e-05,-5.325793055326375e-05,-5.817080622299799e-06,-0.0003788975112763773,-0.0016649128833814524,9.80007253145074
1687192967.2055361,-7.876893271934031e-05,-4.632779097099391e-09,2.5785494975697197e-05,0.9999999965652817,-1.496360731671338e-05,-5.307734013799192e-05,-5.654557587519491e-06,-0.00037012556386157116,-0.0016664308892552517,9.800076003420932
1687192967.215536,-7.876911615932445e-05,-4.604501450736458e-09,2.5785432756505535e-05,0.999999996565269,-1.4971341458868799e-05,-5.288951687740979e-05,-5.505126093672554e-06,-0.0003618228705313241,-0.0016680089422513532,9.800079661775078
1687192967.225536,-7.876929745039163e-05,-4.57760556077016e-09,2.5785352223212776e-05,0.9999999965652567,-1.4979345004472351e-05,-5.270038482527693e-05,-5.3609086294119135e-06,-0.00035367067424905876,-0.0016696722884663247,9.80008342494246
1687192967.235536,-7.876947659454595e-05,-4.55209999566173e-09,2.5785257847142852e-05,0.9999999965652451,-1.4987582298914074e-05,-5.251320050620461e-05,-5.217553118724239e-06,-0.00034561824676436107,-0.001671358347251532,9.800087252863053
1687192967.245536,-7.876965361162892e-05,-4.527373380015816e-09,2.5785152963439534e-05,0.9999999965652338,-1.4995918681871149e-05,-5.2328028613330134e-05,-5.075308598285966e-06,-0.00033766712117218697,-0.0016730629353543392,9.800091097055931
1687192967.255536,-7.87698285192024e-05,-4.5029558277179445e-09,2.5785040167686788e-05,0.999999996565223,-1.5004253255784415e-05,-5.2144931680746625e-05,-4.934303451906007e-06,-0.0003298146530966573,-0.001674768280189345,9.80009492889231
1687192967.265536,-7.877000133649459e-05,-4.478500995311423e-09,2.5784921504616844e-05,0.9999999965652124,-1.5012509597874926e-05,-5.1963950559906744e-05,-4.794633250915528e-06,-0.0003220591866668019,-0.0016764611072568004,9.80009872636294
1687192967.275536,-7.877017306426159e-05,-4.477158407380014e-09,2.5784816625651303e-05,0.9999999965652017,-1.5020603547398937e-05,-5.1783843477427676e-05,-4.661610082433549e-06,-0.00031436187995547533,-0.0016782509913571332,9.800102575624816
1687192967.285536,-7.8770342649468e-05,-4.485703937069517e-09,2.5784738460007447e-05,0.9999999965651902,-1.502694856985246e-05,-5.160007347557164e-05,-4.532520034351256e-06,-0.0003068218797567589,-0.0016798055756187056,9.800106063085654
1687192967.295536,-7.877051002100669e-05,-4.489446409210342e-09,2.5784680650829338e-05,0.9999999965651786,1.4914528529896128e-05,5.0945816751977236e-05,4.440223880445817e-06,-1.5946323673566368e-06,-0.0015436139661211936,9.800000248333554
1687192967.305536,-7.877067530866576e-05,-4.488822477669457e-09,2.5784638399211074e-05,0.9999999965651666,-1.5036706548428445e-05,-5.124117283076771e-05,-4.28191901653911e-06,-0.0002921380776999735,-0.0016823826221028747,9.80011206019049
1687192967.315536,-7.877083774215479e-05,-4.4837929650294656e-09,2.5784609540997048e-05,0.9999999965651546,-1.5040523313238804e-05,-5.106589489437516e-05,-4.159848660395104e-06,-0.00028492069855933584,-0.0016834794416933805,9.800114721873332
1687192967.325536,-7.877097167233221e-05,-4.492674791844588e-09,2.5784590443657413e-05,0.9999999965651445,-1.505224192268266e-05,-5.088506528870732e-05,-4.0436688729916914e-06,-0.00027688488242171765,-0.001684703405260723,9.800119038348829
1687192967.3355362,-7.877109536677435e-05,-4.5234210738731095e-09,2.5784549881916906e-05,0.9999999965651358,-1.5070284542426343e-05,-5.070523952537394e-05,-3.929522999275054e-06,-0.0002691120574343421,-0.0016861794033531253,9.800123453248247
1687192967.3455362,-7.877121783287203e-05,-4.557553414736791e-09,2.5784494846496176e-05,0.9999999965651276,-1.508855003887192e-05,-5.052627928861036e-05,-3.815880782439778e-06,-0.0002618748420404787,-0.0016877264371402178,9.800127803330806
1687192967.3555362,-7.877133851363369e-05,-4.5926422077314e-09,2.578442841211084e-05,0.9999999965651197,-1.5106541091605347e-05,-5.0347269525031265e-05,-3.7014319048196902e-06,-0.0002546694268147455,-0.001689295485293904,9.800132179957037
1687192967.3655362,-7.877143818590195e-05,-4.64192833175817e-09,2.5784334503315616e-05,0.9999999965651143,-1.5125426081991524e-05,-5.014441355904299e-05,-3.565947792924935e-06,3.090712029713173e-06,-0.001544369792885306,9.800003582945044
1687192967.3755362,-7.877153181158768e-05,-4.688982061234609e-09,2.5784233313989814e-05,0.9999999965651096,-1.5146524332148262e-05,-4.995212092768501e-05,-3.433842063983785e-06,-0.00023927800501241547,-0.0016921082284244748,9.800140880312426
1687192967.3855362,-7.877162402333464e-05,-4.731744196950783e-09,2.5784133950087973e-05,0.999999996565105,-1.5167023580995621e-05,-4.976347862922065e-05,-3.3032919568347267e-06,-0.0002320988084546901,-0.001693299725382446,9.80014426558287
1687192967.3955362,-7.877171460308856e-05,-4.772156161010879e-09,2.57840361239855e-05,0.9999999965651003,-1.5187057053387123e-05,-4.957785732940628e-05,-3.174701817175322e-06,-0.0002249973090241332,-0.0016944212732793271,9.800147560460344
1687192967.4055362,-7.877180359269194e-05,-4.810544586300263e-09,2.5783939496888506e-05,0.9999999965650958,-1.5206642340565517e-05,-4.939520813427361e-05,-3.048150636767074e-06,-0.00021799355414076833,-0.0016954889192808092,9.800150752506674
1687192967.4155362,-7.877189103030457e-05,-4.8470327222814416e-09,2.5783843817842863e-05,0.9999999965650914,-1.522579212637655e-05,-4.921549650907139e-05,-2.9236264253107e-06,-0.0002110906288278898,-0.0016965079649045895,9.800153847179724
1687192967.4255362,-7.877197695072212e-05,-4.88171288197748e-09,2.57837489093218e-05,0.999999996565087,-1.5244519405550915e-05,-4.90386797077485e-05,-2.8010965428086383e-06,-0.0002042886484823906,-0.001697481678261823,9.800156849199603
1687192967.4355361,-7.877206138613584e-05,-4.9146652175992135e-09,2.578365464945514e-05,0.9999999965650828,-1.5262836480499745e-05,-4.8864710462899434e-05,-2.6805237196085353e-06,-0.00019758680998988742,-0.0016984125064364057,9.800159762512422
1687192967.4455361,-7.877214442181832e-05,-4.945815921814047e-09,2.5783559651799235e-05,0.9999999965650787,-1.5280740639668904e-05,-4.8693850264875274e-05,-2.563293475367342e-06,-0.00019102381424033902,-0.0016993311494386248,9.800162893808308
1687192967.4555361,-7.877222625353011e-05,-4.974664696851691e-09,2.578346112587778e-05,0.9999999965650748,-1.5298271483308976e-05,-4.852649835154699e-05,-2.4486945906960735e-06,-0.00018423527107314883,-0.0017003114042815522,9.800167831572935
1687192967.465536,-7.877230688905105e-05,-5.002641701793011e-09,2.578336105735147e-05,0.999999996565071,-1.5310499686954304e-05,-4.835154915632219e-05,-2.3249742629977114e-06,-0.00017734688437514326,-0.001701189806303693,9.800171583529142
1687192967.475536,-7.87723863424378e-05,-5.029744911912114e-09,2.578326194327879e-05,0.9999999965650672,-1.532037345180911e-05,-4.81752667718285e-05,-2.199175000187869e-06,-0.00017058299046834334,-0.0017019832365472785,9.800174802520498
1687192967.485536,-7.877246443189741e-05,-5.055318353811217e-09,2.5783163668860634e-05,0.9999999965650638,-1.532992237304843e-05,-4.800173089605019e-05,-2.075275890031524e-06,2.5570439143103915e-06,-0.0015442375990363632,9.800002107896287
