time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1687193095.555965,2.637994278704364,4.1273560527552275,0.2844418556188354,0.0003337928210834398,-5.173445964656535e-07,0.9218515037089894,0.38754315074783624,-1.251023522696862,1.4832620251620172,-9.180730991364444e-05,0.0001446513155377314,0.000843438270249422,0.576725199680449
1687193095.6559649,2.5073374638807944,4.272066364994022,0.28438207288218253,0.0002261005205907812,-5.101539936300088e-05,0.9312488143363751,0.36438385265140255,-1.2629083160677501,1.3808662674953482,0.0002812721740420636,-0.00017922224553282968,0.001411399555464429,0.5882671080610126
1687193095.7559648,2.373859240457966,4.406104580511639,0.2843736439018496,0.00026058478746843585,-5.422809458035909e-05,0.9414244767579139,0.3372237887753038,-1.3911489156868635,1.318075090197336,-9.886899078351953e-05,-0.00016887258526229547,0.0003133703715811446,0.6429861542943501
1687193095.855965,2.2287267897994014,4.53657891351309,0.28436554095645056,0.00027552368830316664,-2.4614096938617756e-05,0.952084905581369,0.305833706521958,-1.4970157517933282,1.2609817883140044,-2.1004748759518618e-05,-0.0002940303440266839,0.0003349441957046989,0.6123834155526039
1687193095.9559648,2.0767236308303088,4.658835748721951,0.2843795406795308,0.00028780792537066703,-2.135130007422239e-05,0.9619844669623207,0.2731040132146358,-1.556644322375207,1.1751265894725518,-4.6435108823806735e-05,0.001653854733889186,-0.0012155258051925438,0.7298620082166506
1687193096.055965,1.9172128100538173,4.770098296679043,0.2843663489862547,0.0002705899308292268,-3.9834865644541865e-05,0.9711874941901177,0.23831654647336847,-1.6243682034548217,1.0381717943094615,-0.00014302255707546014,-7.806565792616771e-05,0.0003377430777615863,0.6735166926598474
1687193096.1559649,1.7528326591205052,4.866165386081787,0.28439295580213353,0.00030088494612309227,2.8058743038981643e-05,0.9779615736618485,0.2087847435082286,-1.662240805213007,0.893191005448385,0.000670280939680082,-0.0018533581874759502,0.0010110415012327457,0.5567980829140187
1687193096.2559648,1.5810848407878306,4.954042710682242,0.2844117836721874,0.0003116275865096539,6.655188200150545e-05,0.9841608839108624,0.17727733368618787,-1.7559966246807568,0.8477041096374891,-0.0004234951720584598,0.0008268949617567261,-0.00048547869591225557,0.7278170208518548
1687193096.355965,1.405709436594265,5.031463190574403,0.28438503443705065,0.0002773429242650795,8.002311876335759e-05,0.9899805847492867,0.14120325242947915,-1.7388226350613056,0.7070380079664051,-0.00042355712006643517,-0.0012796220866905471,-0.00036956783859584186,0.7699357011067123
1687193096.4559648,1.2243308645131097,5.0959131720712305,0.28442525438816063,0.00021541959872379266,0.0001457011849637122,0.9944897316480412,0.10483370646966557,-1.8634994422780595,0.5808150542491832,0.0005110932881872069,-0.001157510540401062,-0.0014594947449050513,0.7174398935291151
